-1,-1,6,3,3,3,3,3,3,3,3,3,7,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
-1,-1,8,4,11,-1,18,4,4,4,4,4,9,-1,-1
-1,-1,-1,-1,8,4,9,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
