-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,22,20,23,20,23,20,23,20,23,20,22,-1,-1
-1,-1,23,21,22,21,22,21,22,21,22,21,23,-1,-1
-1,-1,22,20,23,20,23,20,23,20,23,20,22,-1,-1
-1,-1,23,21,22,21,22,21,22,21,22,21,23,-1,-1
-1,-1,22,20,23,20,23,20,23,20,23,20,22,-1,-1
-1,-1,23,21,22,21,22,21,22,21,22,21,23,-1,-1
-1,-1,22,20,23,20,23,20,23,20,23,20,22,-1,-1
-1,-1,23,21,22,21,22,21,22,21,22,21,23,-1,-1
-1,-1,22,20,23,20,23,20,23,20,23,20,22,-1,-1
-1,-1,-1,-1,22,23,22,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
